"Valuación de Inventarios","0001-AGV","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"0-000-006","Pieza de mano de alta velocidad Turbinetta Fit",,"91",,,
"0-000-007","Pieza de mano de alta velocidad Turbinetta Plus P-III semisilenciosa mini Led",,"146",,,
"0-000-008","Turbina para Concentrix",,"5",,,
"0-000-010","Turbina para Pan Air mini",,"4",,,
"0-000-033","Balero para Concentrix",,"8",,,
"0-000-045","Chuck para Turbinetta Plus P-II standard",,"79",,,
"0-000-046","Tapa para pieza de mano Turbinetta Plus P-II standard",,"4",,,
"0-000-048","Tapa para Pan Air standard",,"31",,,
"0-000-055","Tapa para Pan Air mini",,"7",,,
"0-000-057","Chuck original para Pan Air",,"10",,,
"0-000-071","Chuck para Turbinetta Plus P-III mini",,"81",,,
"0-000-075","Empaque de dos líneas nacional",,"35",,,
"0-000-081","Botafresas nacional para Pan Air",,"16",,,
"0-000-085","Botafresas original para Concentrix",,"20",,,
"0-000-092","Adaptador y conector para piezas de mano",,"73",,,
"0-000-094","Convertidor de 4 a 2 líneas",,"54",,,
"0-000-100","Lubricante para piezas de mano",,"239",,,
"0-000-104","Convertidor de 2 a 4 líneas",,"124",,,
"0-000-111","Soplete tipo Microtorch",,"280",,,
"0-000-121","Máquina punteadora para uso odontológico",,"12",,,
"0-000-222","Soplete Microtorch ECO",,"430",,,
"0-000-400","Pinza porta brackets con coleta Borgatta",,"68",,,
"0-000-500","Estrella de altura 1 (2.0, 2.5, 3.0 y 3.5 mm)",,"2",,,
"0-000-501","Rollo de soldadura c/1 g",,"2546",,,
"0-000-502","Flux 20 g",,"811",,,
"0-000-506","Rollo de soldadura c/20 g",,"391",,,
"0-000-507","Rollo de soldadura c/10 g",,"491",,,
"0-000-511","Flux de 50 gramos",,"310",,,
"0-000-531","Ratones de plástico de colores",,"69485",,,
"0-000-612","Tiras de alambre de acero inoxidable Borgatta .012",,"16",,,
"0-000-614","Tira de alambre de acero inoxidable Borgatta .014",,"57",,,
"0-000-616","Tira de alambre de acero inoxidable Borgatta .016",,"137",,,
"0-000-618","Tira de alambre de acero inoxidable Borgatta .018",,"31",,,
"0-000-620","Tira de alambre de acero inoxidable Borgatta .020",,"24",,,
"0-000-624","Tira de alambre de acero inoxidable Borgatta .024",,"5",,,
"0-000-628","Tira de alambre de acero inoxidable Borgatta .028",,"29",,,
"0-000-632","Tira de alambre de acero inoxidable Borgatta .032",,"80",,,
"0-000-636","Tira de alambre de acero inoxidable Borgatta .036",,"115",,,
"0-000-640","Tira de alambre de acero inoxidable Borgatta .040",,"21",,,
"0-000-708","Pieza de mano de alta velocidad Borgatta Stella Prime",,"90",,,
"0-000-709","Pieza de mano de baja velocidad electrica",,"4",,,
"0-000-723","Gancho de bola Borgatta .032 25 piezas",,"116",,,
"0-000-732","Gancho de bola Borgatta .028 25 piezas",,"139",,,
"0-000-737","Juego de zócalos de plástico (Inferior/Superior)",,"2672",,,
"0-000-740","Mordedor retractor de lengua Borgatta",,"167",,,
"0-000-782","Equipo de termoformado profesional Vaccum",,"7",,,
"0-000-812","Rollo de alambre de acero inoxidable duro-elástico Borgatta .012 c/50 g",,"13",,,
"0-000-816","Rollo de alambre de acero inoxidable duro-elástico Borgatta .016 c/50 g",,"6",,,
"0-000-818","Rollo de alambre de acero inoxidable duro-elástico Borgatta .018 c/50 g",,"4",,,
"0-000-820","Rollo de alambre de acero inoxidable duro-elástico Borgatta .020 c/50 g",,"198",,,
"0-000-824","Rollo de alambre de acero inoxidable duro-elástico Borgatta .024 c/50 g",,"8",,,
"0-000-828","Rollo de alambre de acero inoxidable duro-elástico Borgatta .028 c/50 g",,"3",,,
"0-000-832","Rollo de alambre de acero inoxidable duro-elástico Borgatta .032 c/50 g",,"16",,,
"0-000-836","Rollo de alambre de acero inoxidable duro-elástico Borgatta .036 c/50 g",,"3",,,
"0-000-840","Rollo de alambre de acero inoxidable duro-elástico Borgatta .040 c/50 g",,"4",,,
"0-000-850","Rollo de ligadura metálica ortodóntica Borgatta .008 c/10 g",,"152",,,
"0-000-851","Rollo de ligadura metálica ortodóntica Borgatta .010 c/10 g",,"1102",,,
"0-000-852","Rollo de ligadura metálica ortodóntica Borgatta .012 c/10 g",,"121",,,
"0-000-854","Rollo de ligadura metálica quirúrgica Borgatta .016 c/10 g",,"28",,,
"0-000-855","Rollo de ligadura metálica quirúrgica Borgatta .018 c/10 g",,"20",,,
"0-000-856","Rollo de ligadura metálica quirúrgica Borgatta .020 c/10 g",,"5",,,
"0-000-890","Regla GAMA para trazos de calcos Cefalométricos (Ricketts)",,"3",,,
"0-001-001","Pieza de mano de alta velocidad Turbinetta Ultra",,"152",,,
"0-001-121","Juego de puntas para Punteadora con templador Borgatta",,"3",,,
"0-001-442","Caja ortodóntica colección Pastel Colors grande c/cordón",,"215",,,
"0-001-444","Caja ortodóntica colección Neón Colors grande c/cordón",,"393",,,
"0-001-446","Caja ortodóntica colección Viva Colors grande c/cordón",,"370",,,
"0-001-450","Caballete de acrílico grande 24 cm",,"27",,,
"0-001-451","Caballete de acrílico chico 15 cm",,"40",,,
"0-001-452","Estuche de acrílico para bandas y brackets",,"9",,,
"0-001-453","Porta cadena de acrílico",,"18",,,
"0-001-454","Porta arcos preformados de acrílico",,"44",,,
"0-001-455","Dispensador set de protección",,"26",,,
"0-001-457","Negatoscopio estudiantil",,"10",,,
