"Valuación de Inventarios","0002-APROD","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"0-000-008","Turbina para Concentrix",,"204",,,
"0-000-009","Turbina para Pan Air standard",,"2572",,,
"0-000-010","Turbina para Pan Air mini",,"458",,,
"0-000-081","Botafresas nacional para Pan Air",,"77",,,
"0-000-100","Lubricante para piezas de mano",,"805",,,
"0-000-510","Carrete de Soldadura 1/2 KG.",,"64.01",,,
"0-000-512","Flux lata c/350g",,"55.77",,,
"0-000-709","Pieza de mano de baja velocidad electrica",,"1",,,
"0-001-001-1","Carcasa para pieza de mano de alta velocidad Turbinetta Plus P-II standard",,"670",,,
"0-001-001-3","Llave para pieza de mano alta velocidad Turbinetta Plus P-II standard",,"670",,,
"0-001-006","Carcasa para pieza de mano de alta velocidad Turbinetta Plus P-III mini",,"358",,,
"0-001-098","Capelo para caja de revelado",,"798",,,
"0-001-442-A","Caja ortodóntica colección Pastel AZUL Grande",,"160",,,
"0-001-442-D","Caja ortodóntica colección Pastel DURAZNO Grande",,"160",,,
"0-001-442-M","Caja ortodóntica colección Pastel MORADO Grande",,"160",,,
"0-001-442-R","Caja ortodóntica colección Pastel ROSA Grande",,"160",,,
"0-001-442-V","Caja ortodóntica colección Pastel VERDE Grande",,"160",,,
"0-001-444-AM","Caja ortodóntica colección Neón AMARILLO Grande",,"436",,,
"0-001-444-AZ","Caja ortodóntica colección Neón AZUL Grande",,"436",,,
"0-001-444-N","Caja ortodóntica colección Neón NARANJA Grande",,"436",,,
"0-001-444-R","Caja ortodóntica colección Neón ROSA Grande",,"436",,,
"0-001-444-V","Caja ortodóntica colección Neón VERDE Grande",,"436",,,
"0-001-446-A","Caja ortodóntica colección Viva AMARILLO Grande",,"440",,,
"0-001-446-AP","Caja ortodóntica colección Viva AZUL PERRI Grande",,"440",,,
"0-001-446-M","Caja ortodóntica colección Viva MORADO Grande",,"440",,,
"0-001-446-N","Caja ortodóntica colección Viva NARANJA Grande",,"440",,,
"0-001-446-VE","Caja ortodóntica colección Viva VERDE ESMERALDA Grande",,"440",,,
"0-001-705","Carcasa para pieza de mano de alta velocidad Borgatta Lite",,"3",,,
"0-001-708","Carcasa para pieza de mano de alta velocidad Borgatta Stella Lux",,"339",,,
"0-002-098","Base para caja de revelado",,"684",,,
"0-002-737","Bisagra para zócalo de plástico",,"10666",,,
"0-003-003-A","Pieza de mano de baja velocidad Tipo "E"",,"2051",,,
"0-003-003-B","Contrangulo",,"2051",,,
"0-003-006","Llave para pieza de mano alta velocidad Turbinetta Plus P-III mini",,"358",,,
"0-003-098","Recipientes para caja de revelado",,"1578",,,
"0-003-705","Llave para pieza de mano de alta velocidad Borgatta Lite",,"3",,,
"0-003-708","Llave para pieza de mano de alta velocidad Borgatta Stella Lux",,"339",,,
"0-004","Pieza de mano (Garantia)",,"6",,,
"0-004-098","Marco chico para caja de revelado",,"474",,,
"0-005-098","Marco grande para caja de revelado",,"544",,,
"0-005-705","Turbina para pieza de mano de alta velocidad Borgatta Lite",,"3",,,
"0-005-708","Turbina de Push para pieza de mano de alta velocidad Borgatta Stella Lux",,"340",,,
"0-006-098","Juego de mangas para caja de revelado",,"129",,,
"0-008-098","Tornillo para caja de revelado",,"497",,,
"0-009-098","Alambre para caja de revelado",,"21.34",,,
"0-018","Maquila carrete",,"7553",,,
"02-511-11-PP","Arco Impulse Borgatta Black .014  superior 1 pieza",,"4000",,,
"02-511-13-PP","Arco Impulse Borgatta Black .018 superior 1 pieza",,"4000",,,
