"Valuación de Inventarios","0005-ABCK","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"0-001-444-AZ","Caja ortodóntica colección Neón AZUL Grande",,"359",,,
"0-001-447-N","Caja ortodóntica color NEGRO",,"168",,,
"02-511-11-PP","Arco Impulse Borgatta Black .014  superior 1 pieza",,"6323",,,
"02-511-13","Arco Impulse Borgatta Black .018 superior c/10 piezas",,,,,
"02-511-13-PP","Arco Impulse Borgatta Black .018 superior 1 pieza",,"6426",,,
"02-511-61-PP","Arco Impulse Borgatta Black .014 inferior 1 pieza",,"14278",,,
"02-511-63","Arco Impulse Borgatta Black .018 inferior c/10 piezas",,,,,
"02-511-63-PP","Arco Impulse Borgatta Black .018 inferior 1 pieza",,"6432",,,
"02-523-14-PP","Arco Neo-Impulse Borgatta Black .018x.018 superior 1 pieza",,"52",,,
"02-523-17-PP","Arco Neo-Impulse Borgatta Black .020x.020 superior 1 pieza",,"132",,,
"02-523-64-PP","Arco Neo-Impulse Borgatta Black .018x.018 inferior 1 pieza",,"28",,,
"02-528-05-PP","Arco Bio-Impulse Borgatta Black .018x.025 superior 1 pieza",,"101",,,
"02-528-06-PP","Arco Bio-Impulse Borgatta Black .019x.025 superior 1 pieza",,"78",,,
"02-528-07","Arco Bio-Impulse Borgatta Black .020x.020 superior c/10 piezas",,,,,
"02-528-07-PP","Arco Bio-Impulse Borgatta Black .020x.020 superior 1 pieza",,"6624",,,
"02-528-55-PP","Arco Bio-Impulse Borgatta Black .018x.025 inferior 1 pieza",,"101",,,
"02-528-56-PP","Arco Bio-Impulse Borgatta Black .019x.025 inferior 1 pieza",,"78",,,
"02-528-57","Arco Bio-Impulse Borgatta Black .020x.020 inferior c/10 piezas",,,,,
"02-528-57-PP","Arco Bio-Impulse Borgatta Black .020x.020 inferior 1 pieza",,"6428",,,
"02-711-112","Arco de Sentalloy Estético GAC .014 superior",,"0.9",,,
"02-711-132","Arcos de Sentalloy Estéticos GAC .018 superior",,"0.9",,,
"02-711-612","Arco de Sentalloy Estético GAC .014 inferior",,"0.9",,,
"02-711-632","Arcos de Sentalloy Estéticos GAC .018 inferior",,"0.9",,,
"02-728-072","Arcos de BioForce Estéticos GAC .020 x .020 superior",,"0.9",,,
"02-728-572","Arcos de BioForce Estéticos GAC .020 x .020 inferior",,"0.9",,,
"03-125-43-PP","Arco de acero inoxidable trenzado .021x.025 superior 1 pieza",,"8575",,,
