"Valuación de Inventarios","0010-ARM","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"0-000-510","Carrete de Soldadura 1/2 KG.",,"0",,,
"1-3000","Frasco de plastico con pipeta (aceite)",,"10000",,,
"1-4040","Bolsa Borgatta #3 26+16*47",,"7490",,,
"1-4041","Bolsa Borgatta #2 26+16*35",,"10150",,,
"1-4042","Bolsa Borgatta #4 42+23x68",,"4685",,,
"1-8007","Aceite p/pieza de mano (litro)",,"60",,,
"1-8013","Etiqueta blanca en rollo 25x38 (2 al paso) Registros",,"15000",,,
"1-8034","Etiqueta en rollo 50x50 Iline (2 al paso)",,"10000",,,
"1-8106","Estuche para pieza de mano individual",,"870",,,
"1-8107","Estuche para pieza de mano individual NUEVO Diseño",,"2280",,,
"300-598-L","LLave para Tornillo disyuntor",,"200",,,
"4-E-0-000-098","Etiqueta de Transparente de Precaucion p/caja de revelado",,"1000",,,
"500-032-1","Almohadilla cervical c/módulo de seguridad color azul",,"60",,,
"500-033-1","Almohadilla cervical c/módulo de seguridad color rosa",,"40",,,
"500-035-1","Almohadilla cervical c/módulo de seguridad color mezclilla",,"50",,,
"600-GLAZE-01","Glaze liquido 20 ml",,"48",,,
"600-GLHT-A1","Disilicato de litio en bloque 18*15*13 HT (A1) c/5 piezas",,"5",,,
"600-GLHT-A2","Disilicato de litio en bloque 18*15*13 HT (A2) c/5 piezas",,"5",,,
"600-GLHT-A3","Disilicato de litio en bloque 18*15*13 HT (A3) c/5 piezas",,"5",,,
"600-GLHT-A3.5","Disilicato de litio en bloque 18*15*13 HT (A3.5) c/5 piezas",,"5",,,
"600-GLHT-B1","Disilicato de litio en bloque 18*15*13 HT (B1) c/5 piezas",,"5",,,
"600-GLLT-A1","Disilicato de litio en bloque 18*15*13 LT (A1) c/5 piezas",,"5",,,
"600-GLLT-A2","Disilicato de litio en bloque 18*15*13 LT (A2) c/5 piezas",,"5",,,
"600-GLLT-A3","Disilicato de litio en bloque 18*15*13 LT (A3) c/5 piezas",,"5",,,
"600-GLLT-A3.5","Disilicato de litio en bloque 18*15*13 LT (A3.5) c/5 piezas",,"5",,,
"600-GLLT-B1","Disilicato de litio en bloque 18*15*13 LT (B1) c/5 piezas",,"5",,,
"600-HT16-A1","Disco de Circonia modelo HT multicapa 98*16 (A1)",,"5",,,
"600-HT16-A2","Disco de Circonia modelo HT multicapa 98*16 (A2)",,"5",,,
"600-HT16-A3","Disco de Circonia modelo HT multicapa 98*16 (A3)",,"3",,,
"600-HT16-A3.5","Disco de Circonia modelo HT multicapa 98*16 (A3.5)",,"3",,,
"600-HT16-B1","Disco de Circonia modelo HT multicapa 98*16 (B1)",,"1",,,
"600-HT16-B2","Disco de Circonia modelo HT multicapa 98*16 (B2)",,"1",,,
"600-HT16-B3","Disco de Circonia modelo HT multicapa 98*16 (B3)",,"1",,,
"600-HT18-A1","Disco de Circonia modelo HT multicapa 98*18 (A1)",,"5",,,
"600-HT18-A2","Disco de Circonia modelo HT multicapa 98*18 (A2)",,"5",,,
"600-HT18-A3","Disco de Circonia modelo HT multicapa 98*18 (A3)",,"3",,,
"600-HT18-A3.5","Disco de Circonia modelo HT multicapa 98*18 (A3.5)",,"3",,,
"600-HT18-B1","Disco de Circonia modelo HT multicapa 98*18 (B1)",,"1",,,
"600-HT18-B2","Disco de Circonia modelo HT multicapa 98*18 (B2)",,"1",,,
"600-HT18-B3","Disco de Circonia modelo HT multicapa 98*18 (B3)",,"1",,,
"600-HT20-A1","Disco de Circonia modelo HT multicapa 98*20 (A1)",,"5",,,
"600-HT20-A2","Disco de Circonia modelo HT multicapa 98*20 (A2)",,"5",,,
"600-HT20-A3","Disco de Circonia modelo HT multicapa 98*20 (A3)",,"3",,,
"600-HT20-A3.5","Disco de Circonia modelo HT multicapa 98*20 (A3.5)",,"3",,,
"600-HT20-B1","Disco de Circonia modelo HT multicapa 98*20 (B1)",,"1",,,
"600-HT20-B2","Disco de Circonia modelo HT multicapa 98*20 (B2)",,"1",,,
"600-HT20-B3","Disco de Circonia modelo HT multicapa 98*20 (B3)",,"1",,,
"600-HT22-A1","Disco de Circonia modelo HT multicapa 98*22 (A1)",,"5",,,
"600-HT22-A2","Disco de Circonia modelo HT multicapa 98*22 (A2)",,"5",,,
"600-HT22-A3","Disco de Circonia modelo HT multicapa 98*22 (A3)",,"3",,,
"600-HT22-A3.5","Disco de Circonia modelo HT multicapa 98*22 (A3.5)",,"3",,,
"600-HT22-B1","Disco de Circonia modelo HT multicapa 98*22 (B1)",,"1",,,
"600-HT22-B2","Disco de Circonia modelo HT multicapa 98*22 (B2)",,"1",,,
"600-HT22-B3","Disco de Circonia modelo HT multicapa 98*22 (B3)",,"1",,,
"600-INGHT-A3","Disilicato de litio en ingot HT (A3) c/10 piezas",,"3",,,
"600-INGHT-A3.5","Disilicato de litio en ingot HT (A3.5) c/10 piezas",,"3",,,
"600-INGHT-B1","Disilicato de litio en ingot HT (B1) c/10 piezas",,"3",,,
"600-INGHT-B2","Disilicato de litio en ingot HT (B2) c/10 piezas",,"3",,,
"600-INGHT-BL1","Disilicato de litio en ingot HT (BL1) c/10 piezas",,"3",,,
"600-INGHT-BL2","Disilicato de litio en ingot HT (BL2) c/10 piezas",,"3",,,
"600-INGHT-BL3","Disilicato de litio en ingot HT (BL3) c/10 piezas",,"3",,,
"600-INGHT-BL4","Disilicato de litio en ingot HT (BL4) c/10 piezas",,"3",,,
"600-INGHT-C1","Disilicato de litio en ingot HT (C1) c/10 piezas",,"3",,,
"600-INGHT-C2","Disilicato de litio en ingot HT (C2) c/10 piezas",,"3",,,
"600-INGLT-A3","Disilicato de litio en ingot LT (A3) c/10 piezas",,"3",,,
"600-INGLT-A3.5","Disilicato de litio en ingot LT (A3.5) c/10 piezas",,"3",,,
"600-INGLT-B1","Disilicato de litio en ingot LT (B1) c/10 piezas",,"3",,,
"600-INGLT-B2","Disilicato de litio en ingot LT (B2) c/10 piezas",,"3",,,
"600-INGLT-BL1","Disilicato de litio en ingot LT (BL1) c/10 piezas",,"3",,,
"600-INGLT-BL2","Disilicato de litio en ingot LT (BL2) c/10 piezas",,"3",,,
"600-INGLT-BL3","Disilicato de litio en ingot LT (BL3) c/10 piezas",,"3",,,
"600-INGLT-BL4","Disilicato de litio en ingot LT (BL4) c/10 piezas",,"3",,,
"600-INGLT-C1","Disilicato de litio en ingot LT (C1) c/10 piezas",,"3",,,
"600-INGLT-C2","Disilicato de litio en ingot LT (C2) c/10 piezas",,"3",,,
"600-SHT16-A1","Disco de Circonia modelo SHT multicapa 98*16 (A1)",,"5",,,
"600-SHT16-A2","Disco de Circonia modelo SHT multicapa 98*16 (A2)",,"5",,,
"600-SHT16-A3","Disco de Circonia modelo SHT multicapa 98*16 (A3)",,"3",,,
"600-SHT16-A3.5","Disco de Circonia modelo SHT multicapa 98*16 (A3.5)",,"3",,,
"600-SHT16-B1","Disco de Circonia modelo SHT multicapa 98*16 (B1)",,"1",,,
