"Valuación de Inventarios","0020-PRES","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"0-000-006","Pieza de mano de alta velocidad Turbinetta Fit",,"3",,,
"0-000-007","Pieza de mano de alta velocidad Turbinetta Plus P-III semisilenciosa mini Led",,"3",,,
"0-000-400","Pinza porta brackets con coleta Borgatta",,"2",,,
"0-000-510","Carrete de Soldadura 1/2 KG.",,"6",,,
"0-000-512","Flux lata c/350g",,"80",,,
"0-000-705","Pieza de mano de alta velocidad Lite Plus",,"3",,,
"0-000-708","Pieza de mano de alta velocidad Borgatta Stella Prime",,"3",,,
"0-001-001","Pieza de mano de alta velocidad Turbinetta Ultra",,"3",,,
"0-001-442","Caja ortodóntica colección Pastel Colors grande c/cordón",,"4",,,
"0-001-444","Caja ortodóntica colección Neón Colors grande c/cordón",,"4",,,
"0-001-446","Caja ortodóntica colección Viva Colors grande c/cordón",,"3",,,
"0-001-455","Dispensador set de protección",,"1",,,
"0-003-003","Pieza de mano de baja velocidad Switch tipo-E con irrigación",,"2",,,
"02-511-11","Arco Impulse Borgatta Black .014  superior c/10 piezas",,"3",,,
"02-511-13","Arco Impulse Borgatta Black .018 superior c/10 piezas",,"1",,,
"02-511-61","Arco Impulse Borgatta Black .014 inferior c/10 piezas",,"2",,,
"02-511-63","Arco Impulse Borgatta Black .018 inferior c/10 piezas",,"1",,,
"02-528-07","Arco Bio-Impulse Borgatta Black .020x.020 superior c/10 piezas",,"6",,,
"02-528-56","Arco Bio-Impulse Borgatta Black .019x.025 inferior c/10 piezas",,"1",,,
"02-528-57","Arco Bio-Impulse Borgatta Black .020x.020 inferior c/10 piezas",,"5",,,
"03-825-64","Arco de acero inoxidable BLACK .018x.025 inferior c/10 piezas",,"1",,,
"03-925-63","Arco de acero inoxidable BLACK .019x.025 superior c/10 piezas",,"1",,,
"10-000-01","Resorte cerrado Impulse .010x.035 200 g c/ojal",,"11",,,
"10-000-02","Resorte cerrado Impulse .010x.035 150 g c/ojal",,"11",,,
"10-000-03","Resorte cerrado Impulse .010x.035 100 g c/ojal",,"11",,,
"1-2039","Estuche para empaque 4x4 con cavidad (Uva Glint)",,"4800",,,
"1-4002","Bolsa con clip para arco preformado 3x4" (7x10cms)",,"20000",,,
"1-4090","Bolsa de celofan Familia Elastico I Line",,"2400",,,
"1-7013","Rollo de Bobina 5cm",,"2",,,
"17-222-11","Block de papel de acetato p/ trazado 8"x10" c/100 hojas",,"1",,,
"1-8086","Etiqueta Rectangular sin/imp. 18mmX18mm BTS/T (BOPP transparente)",,"2",,,
"200-095","Tira de resorte abierto de NiTi Borgatta",,"2",,,
"200-096","Resorte cerrado de NiTi Borgatta .010x.030 6 mm",,"1",,,
"27-400-71","Escaner Intraoral Borgatta Smart",,"3",,,
"27-400-72","Escaner Intraoral Borgatta 2",,"1",,,
"27-400-73","Escaner Intraoral Borgatta 3",,"1",,,
"27-400-75","Scanner Helios 500",,"1",,,
"27-400-78","Laptop Dell Gaming",,"2",,,
"28-300-26","Kit de Mini-Moldes 7 piezas",,"1",,,
"300-452","Rollo de cadena elástica mediana Borgatta color transparente c/2.3 m",,"1",,,
"300-457","Rollo de cadena elástica mediana Borgatta color plata c/2.3 m",,"1",,,
"300-500","Posicionador de Alexander (3.5 - 5.0 mm)",,"1",,,
"300-500-1","Posicionador de Alexander (2.5 - 6.0 mm)",,"1",,,
"300-510-3LR5","Pieza de bkt. Autoligado Interactivo Nova c/g .022 LR5",,"1",,,
"300-512-1","Juego de bkts. Mirage Sequence Mini Roth c/g.345 .018",,"1",,,
"300-513-1","Juego de bkts. Mirage Sequence Mini Roth c/g.345 .022",,"1",,,
"300-513-4","Juego de bkt. Roth mini Mirage Sequence c/g. 345 .022 y tubos p/6",,"14",,,
"300-537","Zafiro Roth",,"13",,,
"300-557","Gancho quirúrgico universal Borgatta",,"6",,,
"300-560","Tornillo Hyrax Borgatta 7 mm",,"1",,,
"300-561","Tornillo Hyrax Borgatta 11 mm",,"2",,,
"300-561-R","Tornillo Hyrax Borgatta 11 mm",,"8490",,,
"300-564","Tornillo Hyrax Borgatta 9 mm",,"2",,,
"300-564-R","Tornillo Hyrax Borgatta 9 mm",,"8000",,,
"300-565","Tornillo Hyrax Borgatta 13 mm",,"1",,,
"300-566","Llave para tornillo Hyrax Borgatta",,"15000",,,
"300-571","Regla Ricketts",,"6",,,
"300-590","Botón lingual Borgatta plano p/soldar 10 piezas",,"1",,,
"300-592","Botón lingual Borgatta plano c/malla 10 piezas",,"1",,,
"300-593","Botón lingual Borgatta curvo c/malla 10 piezas",,"1",,,
"300-667","Instrumento para Bkt de autoligado",,"55",,,
"300-802-D","Cepillo dental NANO",,"2",,,
"300-803-D","Cepillo dental ortodóntico Inter Ortho",,"33",,,
"300-803-ID","Cepillo dental ortodóntico Inter Ortho Teens",,"103",,,
"300-804-D","Cepillo dental ortodóntico Nano Ortho",,"80",,,
"301-566","Instrumento para doblar hyrax",,"17000",,,
"350-204","Elásticos intraorales látex Borgatta 3/16 4.5 oz 1000 piezas",,"3",,,
"350-304","Elásticos intraorales látex Borgatta 1/4 4.5 oz 1000 piezas",,"3",,,
"350-404","Elásticos intraorales látex Borgatta 5/16 4.5 oz 1000 piezas",,"3",,,
"350-504","Elásticos intraorales látex Borgatta 3/8 4.5 oz 1000 piezas",,"3",,,
"400-000-00","Kit stripping Maneral",,"16",,,
"400-000-22","Lija gruesa de dos luces 0.40 mm",,"1",,,
"400-000-25","Lijas extra gruesa de dos luces 0.50 mm",,"1",,,
"400-000-30","Kit stripping Manual",,"14",,,
"450-001","Cera para bkts. Borgatta aroma Arándano (Azul) 1 pieza",,"22",,,
"450-002","Cera para bkts. Borgatta aroma Fresa (Rosa) 1 pieza",,"22",,,
"450-003","Cera para bkts. Borgatta aroma Uva (Morado) 1 pieza",,"22",,,
"450-004","Cera para bkts. Borgatta aroma Piña (Amarillo) 1 pieza",,"22",,,
"450-005","Cera para bkts. Borgatta aroma Menta (Verde) 1 pieza",,"22",,,
"47-601-22","Stops crimpables",,"6",,,
"47-601-39","Gancho quirúrgico universal Borgatta Black",,"5",,,
"490-010","Resina Prizma 3D Guide-Ambar 500 gr",,"1",,,
"490-011","Resina Prizma 3D Denture Rosa Medio 500 gr",,"1",,,
"490-013","Isoprizma 3D aislante para modelos de resina 3D",,"3",,,
"490-014","Prizma 3D seal Glaze de superficies",,"3",,,
"490-015","Prizma 3D castable naranja 500 gr",,"1",,,
"492-020","Impresora Photon Mono 2",,"2",,,
"492-021","Impresora Photon M5",,"1",,,
"492-023","Resina UV",,"1",,,
"492-024","Maquina lavado Mash & cure plus (para photon M5)",,"3",,,
"492-025","Maquina lavado Mash & cure plus (para photon M3 Max)",,"1",,,
"492-029","Maquina lavado Mash & cure plus (para photon Mono 2)",,"2",,,
"492-030","Impresora Photon  D2",,"4",,,
"500-024","Retractor de labios autoclavable Borgatta transparente adulto",,"4811",,,
"500-026","Retractor de labios autoclavable Borgatta transparente infantil",,"11",,,
"600-GLAZE","Kit Glaze",,"1",,,
"70-100","Juego de bkts. Glint Roth .022 c/g.345",,"11",,,
"70-100-1","Juego de bkts. Glint Roth .022 c/g.345 c/tubos p/6",,"13",,,
"70-200","Juego de bkts. Glint Cerámico Roth .022 c/g.345",,"1",,,
"70-200-1","Juego de bkts. Glint Cerámico Roth .022 c/g.345 c/tubos p/6",,"13",,,
