SKU,Descripcion,Stock
KIT90-079,Kit X-Pression "R" CCO Smile System,2
KIT90-089,Kit X-Pression "C" CCO Smile System c/secuencia metálica,1
90-085-01,Juego de brackets X-pression "C" CCO c/g.345 .022,3
90-069-01,X-pression R Roth Mini,2
KIT-TUBOS SS,Kit de Tubos CCO Smile System,1
GCP-68-162-072,Tubos CCO Smile System sencillo no convertible,3
68-162-072,Tubo CCO Smile System UR sencillo no convertible c/malla,2
68-172-072,Tubo CCO Smile System UR sencillo no convertible c/malla,1
68-262-072,Tubo CCO Smile System UL sencillo no convertible c/malla,3
68-272-072,Tubo CCO Smile System UL sencillo no convertible c/malla,2
68-362-072,Tubo CCO System LR sencillo no convertible c/malla,1
68-372-072,Tubo CCO System LR sencillo no convertible c/malla,3
68-462-072,Tubo CCO System LL sencillo no convertible c/malla,2
68-472-072,Tubo CCO System LL sencillo no convertible c/malla,1
GCP-69-162-80,Tubos Black Duo Roth slot .022 para soldar,3
69-162-80,Tubos Black Duo Roth UR triples convertibles,2
69-262-80,Tubos Black Duo Roth UL triples convertibles,1
69-362-88,Tubos Black Duo Roth LR dobles convertibles,3
69-462-88,Tubos Black Duo Roth LL dobles convertibles,2
GCP-68-172-80,Tubos Black Duo Roth slot .022 p/7 con malla,1
68-172-80,Tubos Black Duo Roth UR sencillos no convertibles,3
68-272-80,Tubos Black Duo Roth UL sencillos no convertibles,2
68-372-80,Tubos Black Duo Roth LR sencillos no convertibles,1
68-472-80,Tubos Black Duo Roth LL sencillos no convertibles,3
GCP-90-045-00,Brackets Black Duo Roth Standard,2
90-045-00,Juego de brackets Black Duo Roth c/g.3 .022,1
90-045-01,Juego de brackets Black Duo Roth c/g.345 .022,3
90-047-01,Juego de brackets Black Duo Roth super torque c/g.345 .022,2
GCP-90-055-00,Brackets Black Duo Roth Mini,1
90-055-00,Juego de brackets Black Duo Roth mini c/g.3 .022,3
90-055-01,Juego de brackets Black Duo Roth mini c/g.345 .022,2
90-075-01,Juego de brackets Black Duo "C" Roth c/g.345 .022,1
GCP-90-016-00,Brackets Micro Action Mini Alexander,3
90-016-00,Juego de brackets Micro Action mini Alexander c/g.3 .018,2
90-016-01,Juego de brackets Micro Action mini Alexander c/g.2 .018,1
90-016-04,Juego de brackets Micro Action mini Alexander c/g.2 y 3 .018,3
90-016-06,Juego de brackets Micro Action mini Alexander c/g.345 .018,2
GCP-90-080-01,Brackets Action Mini torque en base Roth,1
90-080-01,Juego de brackets Action mini Roth c/g.345 .018,3
90-081-01,Juego de brackets Action mini Roth c/g.345 .022,2 
