"Valuaci�n de Inventarios","0001-AGV","DENTAL TRADE",
"Art�culo","Descripci�n","Existencias",,,
"0-000-006","Pieza de mano de alta velocidad Turbinetta Fit",,"91",,,
"0-000-007","Pieza de mano de alta velocidad Turbinetta Plus P-III semisilenciosa mini Led",,"146",,,
"0-000-008","Turbina para Concentrix",,"5",,,
"0-000-010","Turbina para Pan Air mini",,"4",,,
"0-000-033","Balero para Concentrix",,"8",,,
"0-000-045","Chuck para Turbinetta Plus P-II standard",,"79",,,
"0-000-046","Tapa para pieza de mano Turbinetta Plus P-II standard",,"4",,,
"0-000-048","Tapa para Pan Air standard",,"31",,,
"0-000-055","Tapa para Pan Air mini",,"7",,,
"0-000-057","Chuck original para Pan Air",,"10",,,
"0-000-071","Chuck para Turbinetta Plus P-III mini",,"81",,,
"0-000-075","Empaque de dos l�neas nacional",,"35",,,
"0-000-081","Botafresas nacional para Pan Air",,"16",,,
"0-000-085","Botafresas original para Concentrix",,"20",,,
"0-000-092","Adaptador y conector para piezas de mano",,"73",,,
"0-000-094","Convertidor de 4 a 2 l�neas",,"54",,,
"0-000-100","Lubricante para piezas de mano",,"239",,,
"0-000-104","Convertidor de 2 a 4 l�neas",,"124",,,
"0-000-111","Soplete tipo Microtorch",,"280",,,
"0-000-121","M�quina punteadora para uso odontol�gico",,"12",,,
"0-000-222","Soplete Microtorch ECO",,"430",,,
"0-000-400","Pinza porta brackets con coleta Borgatta",,"68",,,
"0-000-500","Estrella de altura 1 (2.0, 2.5, 3.0 y 3.5 mm)",,"2",,,
"0-000-501","Rollo de soldadura c/1 g",,"2546",,,
"0-000-502","Flux 20 g",,"811",,,
"0-000-506","Rollo de soldadura c/20 g",,"391",,,
"0-000-507","Rollo de soldadura c/10 g",,"491",,,
"0-000-511","Flux de 50 gramos",,"310",,,
"0-000-531","Ratones de pl�stico de colores",,"69485",,,
"0-000-612","Tiras de alambre de acero inoxidable Borgatta .012",,"16",,,
"0-000-614","Tira de alambre de acero inoxidable Borgatta .014",,"57",,,
"0-000-616","Tira de alambre de acero inoxidable Borgatta .016",,"137",,,
"0-000-618","Tira de alambre de acero inoxidable Borgatta .018",,"31",,,
"0-000-620","Tira de alambre de acero inoxidable Borgatta .020",,"24",,,
"0-000-624","Tira de alambre de acero inoxidable Borgatta .024",,"5",,,
"0-000-628","Tira de alambre de acero inoxidable Borgatta .028",,"29",,,
"0-000-632","Tira de alambre de acero inoxidable Borgatta .032",,"80",,,
"0-000-636","Tira de alambre de acero inoxidable Borgatta .036",,"115",,,
"0-000-640","Tira de alambre de acero inoxidable Borgatta .040",,"21",,,
"0-000-708","Pieza de mano de alta velocidad Borgatta Stella Prime",,"90",,,
"0-000-709","Pieza de mano de baja velocidad electrica",,"4",,,
"0-000-723","Gancho de bola Borgatta .032 25 piezas",,"116",,,
"VPVL","Vaso pl�stico color violeta c/50 piezas",,"5875",,,
"VPYE","Vaso pl�stico color Amarillo c/50 piezas",,"1729",,,
"Total
","
","1209302","
","
",
"Viernes, 15 de Noviembre de 2024 (08:13 am)","P�gina 1",
